Player,Team,Attacking Impact,Defensive Impact,Misc Impact,Total Impact
André,Wolves,1.45,1.61,0.69,3.75
Anthony Gordon,Newcastle Utd,4.52,-1.66,0.87,3.73
Manuel Ugarte,Manchester Utd,1.7,2.19,-0.19,3.7
Kevin Schade,Brentford,3.62,0.65,-0.58,3.69
Kaoru Mitoma,Brighton,4.53,-0.35,-0.51,3.67
Leandro Trossard,Arsenal,4.22,-0.35,-0.2,3.67
Curtis Jones,Liverpool,3.55,-0.66,0.77,3.66
Matt Doherty,Wolves,1.71,0.84,1.08,3.63
Rodrigo Bentancur,Tottenham,2.06,1.61,-0.04,3.63
Wesley Fofana,Chelsea,1.12,1.82,0.67,3.61
Rico Lewis,Manchester City,2.23,0.01,1.37,3.61
Álex Moreno,Nott'ham Forest,1.75,2.28,-0.45,3.58
Rúben Dias,Manchester City,0.81,-0.16,2.91,3.56
Sander Berge,Fulham,1.84,1.0,0.67,3.51
Vitaliy Mykolenko,Everton,1.72,1.25,0.54,3.51
Diogo Dalot,Manchester Utd,2.23,1.15,0.08,3.46
Jadon Sancho,Chelsea,5.59,-2.26,0.12,3.45
Joelinton,Newcastle Utd,2.48,1.88,-0.92,3.44
Marcus Tavernier,Bournemouth,4.36,-0.36,-0.57,3.43
Milos Kerkez,Bournemouth,3.2,-0.35,0.57,3.42
Eberechi Eze,Crystal Palace,4.19,-1.34,0.56,3.41
Konstantinos Mavropanos,West Ham,0.1,1.73,1.57,3.4
Dan Burn,Newcastle Utd,0.79,1.49,1.07,3.35
Matty Cash,Aston Villa,1.55,1.67,0.1,3.32
Luke Thomas,Leicester City,1.01,1.95,0.34,3.3
Joe Willock,Newcastle Utd,3.2,1.42,-1.35,3.27
Emile Smith Rowe,Fulham,4.14,-1.15,0.26,3.25
Nicolás González,Manchester City,1.92,0.79,0.53,3.24
Justin Kluivert,Bournemouth,6.09,-2.06,-0.83,3.2
Wilfred Ndidi,Leicester City,1.66,2.19,-0.65,3.2
Max Kilman,West Ham,0.95,0.78,1.45,3.18
Phil Foden,Manchester City,4.79,-2.57,0.94,3.16
Yehor Yarmoliuk,Brentford,1.36,1.71,0.09,3.16
Pape Matar Sarr,Tottenham,2.28,0.41,0.36,3.05
Adama Traoré,Fulham,5.48,-2.23,-0.23,3.02
Ben Davies,Tottenham,0.51,0.87,1.64,3.02
Ismaila Sarr,Crystal Palace,4.58,-1.48,-0.1,3.0
Boubacar Kamara,Aston Villa,1.42,0.63,0.94,2.99
Matheus Cunha,Wolves,5.66,-2.59,-0.09,2.98
Justin Devenny,Crystal Palace,3.27,0.88,-1.18,2.97
Jesper Lindstrøm,Everton,1.61,2.23,-0.89,2.95
Calvin Bassey,Fulham,0.75,0.52,1.66,2.93
Ryan Manning,Southampton,2.88,-1.0,1.04,2.92
Dejan Kulusevski,Tottenham,5.63,-1.56,-1.16,2.91
Igor,Brighton,1.32,-0.32,1.9,2.9
Abdukodir Khusanov,Manchester City,0.84,0.13,1.87,2.84
Jarrod Bowen,West Ham,4.96,-1.94,-0.22,2.8
Gabriel Jesus,Arsenal,3.01,1.22,-1.44,2.79
Fabian Schär,Newcastle Utd,1.02,0.36,1.38,2.76
Jean-Clair Todibo,West Ham,0.3,1.38,1.07,2.75
Yasin Ayari,Brighton,2.53,0.38,-0.16,2.75
Gabriel Martinelli,Arsenal,4.19,-1.02,-0.42,2.75
Guido Rodríguez,West Ham,0.92,1.58,0.23,2.73
Manuel Akanji,Manchester City,1.45,-0.83,2.09,2.71
João Gomes,Wolves,1.85,1.22,-0.38,2.69
Kevin Danso,Tottenham,0.66,0.01,2.01,2.68
Ethan Pinnock,Brentford,1.3,0.02,1.35,2.67
Antoine Semenyo,Bournemouth,3.44,0.59,-1.4,2.63
Ryan Yates,Nott'ham Forest,1.16,1.77,-0.34,2.59
Harvey Barnes,Newcastle Utd,4.84,-2.2,-0.05,2.59
Nathan Aké,Manchester City,0.9,-0.29,1.97,2.58
John McGinn,Aston Villa,3.12,-1.04,0.49,2.57
Timo Werner,Tottenham,5.67,-3.03,-0.1,2.54
Rodrigo Muniz,Fulham,3.48,-0.33,-0.62,2.53
Sepp van den Berg,Brentford,0.54,1.32,0.67,2.53
Jacob Ramsey,Aston Villa,3.63,-1.01,-0.1,2.52
Lewis Dunk,Brighton,0.74,-1.05,2.8,2.49
Pedro Neto,Chelsea,4.07,-1.62,0.03,2.48
Santiago Bueno,Wolves,0.64,1.03,0.8,2.47
Emerson Palmieri,West Ham,2.02,0.38,0.04,2.44
Victor Bernth Kristiansen,Leicester City,1.77,-0.02,0.68,2.43
Marco Asensio,Aston Villa,3.87,-1.25,-0.21,2.41
Jefferson Lerma,Crystal Palace,1.25,0.77,0.37,2.39
Daichi Kamada,Crystal Palace,1.9,0.49,-0.01,2.38
Jack Hinshelwood,Brighton,3.14,-1.13,0.35,2.36
Tim Iroegbunam,Everton,1.66,2.17,-1.49,2.34
Mario Lemina,Wolves,2.38,-0.17,0.12,2.33
Dara O'Shea,Ipswich Town,0.52,0.65,1.12,2.29
Jan Bednarek,Southampton,0.89,-0.09,1.47,2.27
Jakub Kiwior,Arsenal,1.22,-0.5,1.52,2.24
Roméo Lavia,Chelsea,2.21,-0.22,0.25,2.24
Noni Madueke,Chelsea,3.65,-1.01,-0.41,2.23
Will Hughes,Crystal Palace,2.62,0.5,-0.92,2.2
Rodrigo Gomes,Wolves,3.5,-1.01,-0.32,2.17
Alexander Isak,Newcastle Utd,5.93,-2.94,-0.85,2.14
Morgan Rogers,Aston Villa,4.92,-1.59,-1.2,2.13
Kasey McAteer,Leicester City,2.25,0.93,-1.05,2.13
Ezri Konsa,Aston Villa,1.05,-0.98,2.05,2.12
Tomáš Souček,West Ham,1.96,0.51,-0.38,2.09
Jack Stephens,Southampton,0.99,-0.48,1.58,2.09
Keane Lewis-Potter,Brentford,2.59,-0.77,0.25,2.07
Christopher Nkunku,Chelsea,3.93,-1.29,-0.58,2.06
Nélson Semedo,Wolves,2.29,-0.22,-0.11,1.96
Edson Álvarez,West Ham,1.23,0.93,-0.2,1.96
Jacob Greaves,Ipswich Town,0.75,0.22,0.98,1.95
Vitaly Janelt,Brentford,1.97,-0.52,0.47,1.92
Diogo Jota,Liverpool,3.73,-0.5,-1.31,1.92
Omar Marmoush,Manchester City,3.08,-0.53,-0.64,1.91
Andreas Pereira,Fulham,4.35,-2.37,-0.08,1.9
Saša Lukić,Fulham,2.01,-0.03,-0.09,1.89
Mads Roerslev,Brentford,2.59,-1.35,0.64,1.88
Brennan Johnson,Tottenham,3.85,-1.65,-0.35,1.85
Tariq Lamptey,Brighton,3.77,-2.21,0.26,1.82
Facundo Buonanotte,Leicester City,3.27,-0.2,-1.27,1.8
Morato,Nott'ham Forest,0.44,1.85,-0.5,1.79
Jota Silva,Nott'ham Forest,3.38,-0.26,-1.35,1.77
Jáder Durán,Aston Villa,4.07,-1.12,-1.18,1.77
David Brooks,Bournemouth,3.56,-1.57,-0.25,1.74
Michael Keane,Everton,1.37,0.0,0.35,1.72
Cameron Burgess,Ipswich Town,1.13,-0.69,1.17,1.61
Issa Diop,Fulham,0.34,0.04,1.21,1.59
Matt O'Riley,Brighton,4.58,-3.05,0.05,1.58
Harry Winks,Leicester City,2.42,-1.98,1.13,1.57
James Justin,Leicester City,1.2,-0.3,0.63,1.53
Taylor Harwood-Bellis,Southampton,0.93,-0.96,1.56,1.53
Kai Havertz,Arsenal,2.94,-0.33,-1.09,1.52
Vladimír Coufal,West Ham,1.33,0.26,-0.08,1.51
Lucas Bergvall,Tottenham,1.79,-0.91,0.51,1.39
Jack Clarke,Ipswich Town,4.13,-2.69,-0.07,1.37
Pau Torres,Aston Villa,0.77,-1.14,1.72,1.35
Kristoffer Ajer,Brentford,0.92,0.59,-0.17,1.34
Kobbie Mainoo,Manchester Utd,1.27,0.56,-0.49,1.34
Pablo Sarabia,Wolves,5.01,-3.27,-0.41,1.33
Kyle Walker,Manchester City,1.42,-1.69,1.53,1.26
Adam Smith,Bournemouth,1.38,-0.02,-0.11,1.25
Victor Lindelöf,Manchester Utd,0.82,-0.62,1.05,1.25
Darwin Núñez,Liverpool,3.37,-0.36,-1.76,1.25
Erling Haaland,Manchester City,4.11,-2.12,-0.78,1.21
Yoane Wissa,Brentford,3.92,-2.3,-0.45,1.17
Wout Faes,Leicester City,0.49,-0.55,1.21,1.15
Evanilson,Bournemouth,2.62,-1.3,-0.19,1.13
Lucas Paquetá,West Ham,2.54,-1.37,-0.05,1.12
Leif Davis,Ipswich Town,3.03,-2.27,0.29,1.05
Raúl Jiménez,Fulham,2.45,-0.62,-0.83,1.0
Orel Mangala,Everton,1.16,-0.32,0.15,0.99
Marshall Munetsi,Wolves,1.4,0.71,-1.12,0.99
Abdoulaye Doucouré,Everton,1.95,-0.05,-0.97,0.93
Nicolas Jackson,Chelsea,3.41,-1.19,-1.3,0.92
Mateus Fernandes,Southampton,2.35,-1.66,0.2,0.89
Axel Tuanzebe,Ipswich Town,1.18,-0.66,0.34,0.86
Chris Wood,Nott'ham Forest,3.5,-1.97,-0.73,0.8
Ollie Watkins,Aston Villa,4.44,-2.86,-0.78,0.8
Diego Carlos,Aston Villa,0.27,-1.34,1.86,0.79
Yves Bissouma,Tottenham,1.4,-0.59,-0.03,0.78
Leny Yoro,Manchester Utd,0.58,-0.93,1.1,0.75
Simon Adingra,Brighton,3.64,-2.02,-0.9,0.72
Danny Welbeck,Brighton,3.55,-2.44,-0.44,0.67
Caleb Okoli,Leicester City,0.71,-0.79,0.69,0.61
Stephy Mavididi,Leicester City,3.46,-2.25,-0.63,0.58
Radu Drăgușin,Tottenham,0.62,-2.01,1.94,0.55
Jean-Philippe Mateta,Crystal Palace,3.26,-1.89,-0.93,0.44
