Player,Team,Minutes,Goals,Assists,Goals + Assists,Non Pen Goals,Pens Scored,Pens Attempted,Prog Carries,Prog Passes,Prog Passes Received,Yellows,Reds,xG,Non Pen xG,xAG,Non Pen xG + xA,Shots,Shots on Target,Non Pen xG per Shot,Goals minus xG,Non Pen Goals minus Non Pen xG,Short Pass,Short Pass Attempted,Medium Pass,Medium Pass Attempted,Long Pass,Long Pass Attempted,xA,Assists minus xAG,Key Passes,Pass into final third,Pass into Pen Area,Cross into Pen Area,Shot Creation Actions,Goal Creation Actions,Tackles,Tackles in Def 3rd,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocked Shots,Blocked Passes,Interceptions,Clearances,Errors,Touches in Attacking Third,Touches in Pen Area,Take Ons Attempted,Take Ons Won,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Points Per Match,Goals whilst on Pitch,Goals Conceded whilst on Pitch,xG whilst on Pitch,xG Conceded whilst on Pitch,Net Goals On or Off Pitch per 90,Net xG On or Off Pitch per 90,Fouls Comitted,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,year
Kyle Walker-Peters,Southampton,2918.0,0.0,2.0,2.0,0.0,0.0,0.0,114.0,139.0,144.0,5.0,0.0,0.8,0.8,2.8,3.6,20.0,6.0,0.04,-0.8,-0.8,832.0,886.0,573.0,637.0,56.0,93.0,2.3,-0.8,24.0,119.0,30.0,4.0,63.0,7.0,44.0,22.0,29.0,16.0,35.0,15.0,12.0,19.0,90.0,1.0,540.0,59.0,92.0,38.0,1271.0,72.0,24.0,32.0,39.0,0.3,23.0,77.0,26.6,74.2,-0.59,-0.67,28.0,52.0,2.0,0.0,0.0,0.0,135.0,11.0,21.0,2024-2025
Lamare Bogarde,Aston Villa,476.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,9.0,2.0,0.0,0.0,0.0,0.1,0.2,1.0,1.0,0.04,0.0,0.0,129.0,139.0,107.0,116.0,3.0,9.0,0.1,-0.1,2.0,24.0,1.0,0.0,10.0,1.0,14.0,6.0,6.0,10.0,16.0,3.0,2.0,1.0,13.0,0.0,40.0,4.0,4.0,2.0,173.0,6.0,1.0,6.0,8.0,1.5,10.0,11.0,7.5,9.3,-0.43,-0.58,8.0,11.0,0.0,0.0,0.0,0.0,13.0,6.0,6.0,2024-2025
Leandro Trossard,Arsenal,2546.0,8.0,7.0,15.0,8.0,0.0,0.0,80.0,101.0,226.0,4.0,0.0,7.2,7.2,6.1,13.3,72.0,21.0,0.1,0.8,0.8,377.0,439.0,275.0,357.0,43.0,87.0,4.1,0.9,41.0,45.0,48.0,10.0,93.0,8.0,31.0,6.0,20.0,12.0,34.0,0.0,32.0,9.0,18.0,0.0,762.0,158.0,86.0,38.0,828.0,55.0,30.0,66.0,52.0,1.95,53.0,26.0,44.5,24.2,0.13,0.19,27.0,46.0,6.0,0.0,0.0,0.0,104.0,6.0,24.0,2024-2025
Leif Davis,Ipswich Town,2743.0,1.0,2.0,3.0,1.0,0.0,0.0,52.0,59.0,137.0,5.0,0.0,1.0,1.0,4.9,5.8,16.0,2.0,0.06,0.0,0.0,430.0,499.0,396.0,509.0,79.0,213.0,4.7,-2.9,61.0,33.0,28.0,12.0,93.0,4.0,46.0,33.0,27.0,30.0,48.0,8.0,17.0,25.0,77.0,3.0,527.0,42.0,38.0,13.0,708.0,31.0,11.0,37.0,16.0,0.52,29.0,69.0,29.2,59.4,-0.51,0.1,27.0,31.0,5.0,0.0,2.0,0.0,113.0,34.0,23.0,2024-2025
Leny Yoro,Manchester Utd,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,52.0,4.0,5.0,0.0,0.7,0.7,0.1,0.8,5.0,1.0,0.15,-0.7,-0.7,313.0,328.0,351.0,373.0,27.0,41.0,0.2,-0.1,2.0,44.0,5.0,1.0,9.0,0.0,29.0,19.0,11.0,13.0,19.0,3.0,2.0,18.0,43.0,0.0,70.0,13.0,4.0,2.0,614.0,13.0,1.0,3.0,4.0,0.81,17.0,24.0,18.1,19.4,-0.42,-0.1,9.0,2.0,1.0,0.0,0.0,0.0,46.0,16.0,16.0,2024-2025
Leon Bailey,Aston Villa,1139.0,1.0,2.0,3.0,1.0,0.0,0.0,58.0,35.0,121.0,3.0,0.0,1.7,1.7,1.5,3.3,28.0,6.0,0.06,-0.7,-0.7,152.0,186.0,100.0,123.0,18.0,38.0,3.0,0.5,16.0,16.0,20.0,2.0,38.0,4.0,7.0,2.0,5.0,3.0,11.0,0.0,6.0,3.0,12.0,0.0,323.0,70.0,57.0,22.0,348.0,23.0,34.0,35.0,25.0,1.54,22.0,19.0,20.3,13.7,0.08,0.55,12.0,18.0,3.0,1.0,0.0,0.0,59.0,6.0,9.0,2024-2025
Lesley Ugochukwu,Southampton,1655.0,1.0,1.0,2.0,1.0,0.0,0.0,29.0,49.0,20.0,7.0,0.0,0.9,0.9,1.0,1.9,10.0,1.0,0.09,0.1,0.1,289.0,327.0,265.0,292.0,23.0,38.0,0.6,0.0,14.0,54.0,7.0,1.0,24.0,1.0,50.0,16.0,24.0,18.0,36.0,10.0,17.0,14.0,23.0,2.0,169.0,24.0,28.0,19.0,479.0,15.0,6.0,12.0,13.0,0.42,13.0,39.0,13.5,39.5,0.32,-0.08,31.0,16.0,0.0,0.0,1.0,0.0,67.0,20.0,18.0,2024-2025
Levi Colwill,Chelsea,3149.0,2.0,1.0,3.0,2.0,0.0,0.0,14.0,131.0,12.0,9.0,0.0,1.9,1.9,1.1,3.0,17.0,4.0,0.11,0.1,0.1,813.0,880.0,1357.0,1426.0,142.0,253.0,1.2,-0.1,14.0,148.0,7.0,3.0,38.0,3.0,47.0,25.0,34.0,18.0,27.0,25.0,12.0,33.0,118.0,4.0,140.0,36.0,12.0,6.0,1621.0,12.0,1.0,14.0,8.0,1.77,56.0,41.0,57.8,43.6,-1.56,-1.67,45.0,21.0,5.0,0.0,1.0,0.0,121.0,82.0,53.0,2024-2025
Lewis Cook,Bournemouth,2978.0,1.0,3.0,4.0,1.0,0.0,0.0,33.0,158.0,52.0,8.0,0.0,0.9,0.9,4.1,5.1,14.0,4.0,0.07,0.1,0.1,542.0,635.0,546.0,641.0,109.0,240.0,3.8,-1.1,48.0,157.0,26.0,11.0,89.0,5.0,81.0,41.0,42.0,37.0,67.0,11.0,19.0,41.0,70.0,0.0,470.0,20.0,20.0,13.0,825.0,29.0,4.0,31.0,18.0,1.39,47.0,43.0,55.1,44.5,-1.51,-0.68,49.0,10.0,3.0,0.0,1.0,0.0,187.0,41.0,34.0,2024-2025
Lewis Dunk,Brighton,2083.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,142.0,3.0,5.0,0.0,0.8,0.8,0.5,1.3,12.0,3.0,0.07,-0.8,-0.8,668.0,693.0,954.0,1002.0,143.0,228.0,1.0,-0.5,6.0,157.0,6.0,0.0,19.0,3.0,17.0,8.0,10.0,11.0,19.0,18.0,10.0,13.0,79.0,2.0,113.0,21.0,1.0,0.0,1341.0,19.0,0.0,9.0,3.0,1.24,33.0,42.0,32.1,35.4,-1.47,-0.65,7.0,11.0,2.0,0.0,0.0,1.0,104.0,51.0,31.0,2024-2025
Lewis Hall,Newcastle Utd,2189.0,0.0,4.0,4.0,0.0,0.0,0.0,41.0,123.0,80.0,3.0,0.0,0.4,0.4,4.3,4.7,11.0,1.0,0.04,-0.4,-0.4,653.0,715.0,525.0,617.0,104.0,202.0,3.7,-0.3,34.0,114.0,17.0,5.0,63.0,6.0,58.0,28.0,41.0,40.0,74.0,18.0,15.0,18.0,75.0,3.0,414.0,47.0,21.0,11.0,950.0,22.0,13.0,33.0,20.0,1.63,45.0,31.0,42.5,28.8,0.06,0.23,9.0,21.0,1.0,0.0,0.0,0.0,119.0,30.0,31.0,2024-2025
Lewis Miley,Newcastle Utd,313.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0,8.0,0.0,0.0,0.5,0.5,0.0,0.6,3.0,2.0,0.18,0.5,0.5,94.0,105.0,59.0,61.0,7.0,10.0,0.3,0.0,1.0,11.0,4.0,0.0,4.0,0.0,14.0,5.0,11.0,7.0,14.0,1.0,4.0,2.0,5.0,2.0,68.0,6.0,3.0,1.0,112.0,2.0,0.0,8.0,1.0,2.14,6.0,4.0,4.9,5.2,0.02,-0.63,3.0,1.0,0.0,0.0,0.0,0.0,16.0,6.0,7.0,2024-2025
Lewis Orford,West Ham,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,11.0,13.0,18.0,20.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,1.2,-1.44,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2024-2025
Liam Delap,Ipswich Town,2593.0,12.0,2.0,14.0,10.0,2.0,2.0,61.0,30.0,110.0,12.0,0.0,9.3,7.8,1.9,9.7,66.0,29.0,0.12,2.7,2.2,123.0,174.0,69.0,108.0,9.0,24.0,1.4,0.1,21.0,17.0,6.0,0.0,62.0,7.0,11.0,3.0,8.0,2.0,15.0,0.0,8.0,2.0,28.0,0.0,335.0,92.0,86.0,40.0,445.0,46.0,30.0,104.0,60.0,0.59,25.0,58.0,25.7,52.1,0.27,0.37,72.0,51.0,14.0,2.0,0.0,0.0,68.0,55.0,74.0,2024-2025
Lisandro Martínez,Manchester Utd,1751.0,2.0,1.0,3.0,2.0,0.0,0.0,23.0,117.0,7.0,7.0,0.0,1.3,1.3,1.1,2.4,17.0,6.0,0.08,0.7,0.7,522.0,554.0,601.0,646.0,64.0,116.0,1.3,-0.1,9.0,91.0,18.0,2.0,26.0,2.0,40.0,25.0,24.0,21.0,36.0,8.0,14.0,32.0,57.0,1.0,125.0,18.0,7.0,6.0,1017.0,23.0,2.0,1.0,3.0,1.35,25.0,27.0,29.7,29.7,0.33,0.06,22.0,7.0,0.0,0.0,0.0,0.0,81.0,16.0,13.0,2024-2025
Lloyd Kelly,Newcastle Utd,303.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,0.0,0.4,0.4,0.5,0.9,3.0,0.0,0.14,-0.4,-0.4,57.0,65.0,78.0,87.0,10.0,24.0,0.1,0.5,2.0,6.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,17.0,0.0,19.0,4.0,3.0,2.0,120.0,2.0,0.0,3.0,2.0,1.6,1.0,6.0,4.1,5.8,-2.24,-1.09,5.0,5.0,1.0,0.0,0.0,0.0,19.0,6.0,2.0,2024-2025
Lucas Bergvall,Tottenham,1212.0,0.0,1.0,1.0,0.0,0.0,0.0,33.0,49.0,31.0,3.0,0.0,0.7,0.7,0.6,1.3,12.0,2.0,0.06,-0.7,-0.7,295.0,321.0,264.0,294.0,53.0,71.0,0.8,0.4,11.0,53.0,7.0,3.0,22.0,4.0,39.0,14.0,19.0,17.0,32.0,8.0,10.0,24.0,22.0,3.0,232.0,22.0,45.0,21.0,531.0,21.0,4.0,20.0,19.0,1.11,29.0,25.0,20.9,24.4,0.5,-0.22,20.0,17.0,0.0,0.0,0.0,0.0,73.0,9.0,8.0,2024-2025
Lucas Digne,Aston Villa,2351.0,0.0,4.0,4.0,0.0,0.0,0.0,23.0,57.0,142.0,4.0,0.0,0.8,0.8,4.7,5.5,13.0,3.0,0.06,-0.8,-0.8,483.0,549.0,389.0,496.0,62.0,155.0,4.0,-0.7,36.0,44.0,30.0,19.0,66.0,5.0,65.0,40.0,38.0,44.0,66.0,4.0,19.0,25.0,89.0,1.0,539.0,28.0,19.0,9.0,683.0,14.0,4.0,17.0,16.0,1.59,34.0,36.0,32.7,34.7,-0.83,-0.75,21.0,16.0,7.0,0.0,0.0,0.0,104.0,37.0,28.0,2024-2025
