Player,Team,Attacking Impact,Defensive Impact,Misc Impact,Total Impact
Daichi Kamada,Crystal Palace,1.9,0.49,-0.01,2.38
Valentino Livramento,Newcastle Utd,1.89,1.59,0.99,4.47
Casemiro,Manchester Utd,1.85,6.84,0.74,9.43
João Gomes,Wolves,1.85,1.22,-0.38,2.69
Sander Berge,Fulham,1.84,1.0,0.67,3.51
Michail Antonio,West Ham,1.84,-3.86,-1.5,-3.52
Carlos Baleba,Brighton,1.83,2.06,0.5,4.39
Lisandro Martínez,Manchester Utd,1.8,1.24,1.38,4.42
Alex Scott,Bournemouth,1.79,3.23,0.3,5.32
Lucas Bergvall,Tottenham,1.79,-0.91,0.51,1.39
Conor Chaplin,Ipswich Town,1.79,-3.9,-0.28,-2.39
Jack Harrison,Everton,1.78,-1.24,-0.33,0.21
Micky van de Ven,Tottenham,1.78,-0.03,2.13,3.88
Victor Bernth Kristiansen,Leicester City,1.77,-0.02,0.68,2.43
Patrick Dorgu,Manchester Utd,1.75,4.02,0.56,6.33
Álex Moreno,Nott'ham Forest,1.75,2.28,-0.45,3.58
Joe Aribo,Southampton,1.75,-2.48,0.76,0.03
Sam Morsy,Ipswich Town,1.74,-1.8,0.34,0.28
Wes Burns,Ipswich Town,1.74,-3.93,-0.17,-2.36
Vitaliy Mykolenko,Everton,1.72,1.25,0.54,3.51
James Bree,Southampton,1.71,-2.77,0.98,-0.08
Matt Doherty,Wolves,1.71,0.84,1.08,3.63
Jan Paul van Hecke,Brighton,1.7,1.17,2.15,5.02
Manuel Ugarte,Manchester Utd,1.7,2.19,-0.19,3.7
Beto,Everton,1.67,-0.77,-1.94,-1.04
Jens Cajuste,Ipswich Town,1.66,-2.24,0.26,-0.32
Tim Iroegbunam,Everton,1.66,2.17,-1.49,2.34
Neco Williams,Nott'ham Forest,1.66,4.31,0.2,6.17
Wilfred Ndidi,Leicester City,1.66,2.19,-0.65,3.2
Virgil van Dijk,Liverpool,1.64,1.56,2.5,5.7
Eddie Nketiah,Crystal Palace,1.64,-1.39,-1.33,-1.08
Jesper Lindstrøm,Everton,1.61,2.23,-0.89,2.95
Nathan Collins,Brentford,1.61,2.05,1.48,5.14
Lesley Ugochukwu,Southampton,1.56,-2.29,-0.18,-0.91
Timothy Castagne,Fulham,1.55,2.0,0.6,4.15
Noussair Mazraoui,Manchester Utd,1.55,3.26,0.7,5.51
Matty Cash,Aston Villa,1.55,1.67,0.1,3.32
Jorginho,Arsenal,1.54,-1.97,0.34,-0.09
Adam Webster,Brighton,1.54,1.09,1.98,4.61
Wilson Odobert,Tottenham,1.53,-4.18,-0.46,-3.11
Idrissa Gana Gueye,Everton,1.53,3.86,0.25,5.64
Ibrahima Konaté,Liverpool,1.51,2.58,1.99,6.08
Sammie Szmodics,Ipswich Town,1.47,-2.72,-0.74,-1.99
Ederson,Manchester City,1.45,-3.33,1.61,-0.27
Manuel Akanji,Manchester City,1.45,-0.83,2.09,2.71
André,Wolves,1.45,1.61,0.69,3.75
Jake O'Brien,Everton,1.43,2.62,0.43,4.48
Kyle Walker,Manchester City,1.42,-1.69,1.53,1.26
Boubacar Kamara,Aston Villa,1.42,0.63,0.94,2.99
Marcos Senesi,Bournemouth,1.42,3.37,0.59,5.38
Trevoh Chalobah,Chelsea,1.42,0.79,1.74,3.95
Marshall Munetsi,Wolves,1.4,0.71,-1.12,0.99
Yves Bissouma,Tottenham,1.4,-0.59,-0.03,0.78
Kenny Tete,Fulham,1.39,3.54,0.02,4.95
Adam Smith,Bournemouth,1.38,-0.02,-0.11,1.25
Michael Keane,Everton,1.37,0.0,0.35,1.72
Yehor Yarmoliuk,Brentford,1.36,1.71,0.09,3.16
Boubakary Soumaré,Leicester City,1.35,-2.0,0.39,-0.26
Vladimír Coufal,West Ham,1.33,0.26,-0.08,1.51
Levi Colwill,Chelsea,1.32,1.43,1.83,4.58
Igor,Brighton,1.32,-0.32,1.9,2.9
Ethan Pinnock,Brentford,1.3,0.02,1.35,2.67
Flynn Downes,Southampton,1.28,-2.28,0.04,-0.96
Cristian Romero,Tottenham,1.27,4.0,2.29,7.56
Kobbie Mainoo,Manchester Utd,1.27,0.56,-0.49,1.34
William Saliba,Arsenal,1.26,1.9,2.21,5.37
Joël Veltman,Brighton,1.25,2.35,1.01,4.61
Emmanuel Agbadou,Wolves,1.25,2.41,1.91,5.57
Jefferson Lerma,Crystal Palace,1.25,0.77,0.37,2.39
Rasmus Højlund,Manchester Utd,1.23,-3.96,-0.8,-3.53
Edson Álvarez,West Ham,1.23,0.93,-0.2,1.96
Aaron Cresswell,West Ham,1.23,1.3,1.33,3.86
James Tarkowski,Everton,1.22,3.91,0.91,6.04
Jakub Kiwior,Arsenal,1.22,-0.5,1.52,2.24
James Justin,Leicester City,1.2,-0.3,0.63,1.53
Nicolás Domínguez,Nott'ham Forest,1.19,3.06,-0.23,4.02
Kamaldeen Sulemana,Southampton,1.18,-2.7,-1.23,-2.75
Axel Tuanzebe,Ipswich Town,1.18,-0.66,0.34,0.86
Joe Gomez,Liverpool,1.17,3.11,2.15,6.43
Ryan Yates,Nott'ham Forest,1.16,1.77,-0.34,2.59
